2025-12-18T08:48:57.809716,SensorTomate1,12.1,17,672,458,72
2025-12-18T08:49:02.144574,SensorTomate2,12,5,603,404,90
2025-12-18T08:49:04.146833,SensorTomate3,11.8,31,573,958,100
2025-12-18T08:49:10.662091,SensorTomate4,11.8,21,590,642,100
2025-12-18T08:50:12.880086,SensorTomate1,12.1,17,606,452,72
2025-12-18T08:50:22.202457,SensorTomate2,12,5,580,406,90
2025-12-18T08:50:28.303203,SensorTomate3,11.8,31,612,958,100
2025-12-18T08:50:34.758237,SensorTomate4,11.8,21,612,636,100
2025-12-18T08:51:37.873269,SensorTomate1,12.1,17,622,456,72
2025-12-18T08:51:40.161593,SensorTomate2,12,5,580,406,90
2025-12-18T08:51:42.114917,SensorTomate3,11.7,31,610,960,100
2025-12-18T08:51:44.751420,SensorTomate4,11.9,21,644,638,100
2025-12-18T08:52:48.797170,SensorTomate1,12.2,17,672,452,72
2025-12-18T08:52:51.189840,SensorTomate2,12,5,618,406,90
2025-12-18T08:52:54.118827,SensorTomate3,11.8,31,591,958,100
2025-12-18T08:52:56.901664,SensorTomate4,11.8,21,647,642,100
2025-12-18T08:53:58.863775,SensorTomate1,12.2,17,687,455,72
2025-12-18T08:54:02.280230,SensorTomate2,11.9,5,560,406,90
2025-12-18T08:54:04.178314,SensorTomate3,11.9,31,680,957,100
2025-12-18T08:54:06.765667,SensorTomate4,11.9,21,610,641,100
2025-12-18T08:55:11.842334,SensorTomate1,12.2,17,636,455,72
2025-12-18T08:55:14.187123,SensorTomate2,11.9,5,580,407,90
2025-12-18T08:55:16.188858,SensorTomate3,11.8,31,643,953,100
2025-12-18T08:55:18.728208,SensorTomate4,11.8,21,640,639,100
2025-12-18T08:56:20.881354,SensorTomate1,12.2,17,670,455,72
2025-12-18T08:56:23.226127,SensorTomate2,12,5,622,404,90
2025-12-18T08:56:25.179166,SensorTomate3,12,31,611,944,100
2025-12-18T08:56:27.817963,SensorTomate4,11.9,21,663,641,100
2025-12-18T08:57:30.821283,SensorTomate1,12.3,17,688,451,72
2025-12-18T08:57:36.187726,SensorTomate2,12,5,638,406,90
2025-12-18T08:57:38.190310,SensorTomate3,11.8,31,710,953,100
2025-12-18T08:57:40.867946,SensorTomate4,11.8,21,630,642,100
2025-12-18T08:58:42.849674,SensorTomate1,12.2,17,620,452,72
2025-12-18T08:58:45.197605,SensorTomate2,12,5,583,404,90
2025-12-18T08:58:49.246092,SensorTomate3,11.8,31,642,947,100
2025-12-18T08:58:51.792850,SensorTomate4,11.9,21,610,644,100
2025-12-18T08:59:53.897892,SensorTomate1,12.2,17,671,455,72
2025-12-18T08:59:56.192986,SensorTomate2,12.1,5,600,406,90
2025-12-18T08:59:58.270128,SensorTomate3,11.9,31,643,946,100
2025-12-18T09:00:00.783535,SensorTomate4,11.9,21,624,641,100
2025-12-18T09:01:04.878283,SensorTomate1,12.3,17,658,455,72
2025-12-18T09:01:07.270803,SensorTomate2,12,5,652,406,90
2025-12-18T09:01:09.175855,SensorTomate3,11.9,31,680,941,100
2025-12-18T09:01:11.763489,SensorTomate4,12,21,647,640,100
2025-12-18T09:02:13.873557,SensorTomate1,12.4,17,639,454,72
2025-12-18T09:02:16.221668,SensorTomate2,12,5,622,406,90
2025-12-18T09:02:19.244152,SensorTomate3,11.9,31,643,946,100
2025-12-18T09:02:21.782530,SensorTomate4,12.1,21,663,639,100
2025-12-18T09:03:26.951267,SensorTomate1,12.3,17,639,455,72
2025-12-18T09:03:29.246345,SensorTomate2,12,5,600,406,90
2025-12-18T09:03:33.296969,SensorTomate3,11.9,31,611,946,100
2025-12-18T09:03:35.737794,SensorTomate4,11.9,21,640,641,100
2025-12-18T09:04:38.061274,SensorTomate1,12.3,18,687,455,72
2025-12-18T09:04:43.232445,SensorTomate2,12,5,600,406,90
2025-12-18T09:04:45.186623,SensorTomate3,11.9,31,710,946,100
2025-12-18T09:04:47.824777,SensorTomate4,11.9,21,612,644,100
2025-12-18T09:05:49.831526,SensorTomate1,12.4,17,636,454,72
2025-12-18T09:05:53.245600,SensorTomate2,12.1,5,638,405,90
2025-12-18T09:05:55.199443,SensorTomate3,12,31,614,944,100
2025-12-18T09:05:58.714025,SensorTomate4,12.1,21,675,639,100
2025-12-18T09:07:00.876647,SensorTomate1,12.4,17,638,454,72
2025-12-18T09:07:04.243388,SensorTomate2,12.1,5,651,405,90
2025-12-18T09:07:06.196572,SensorTomate3,12,31,642,939,100
2025-12-18T09:07:12.746628,SensorTomate4,12.1,21,662,639,100
2025-12-18T09:08:16.105969,SensorTomate1,12.3,17,655,457,72
2025-12-18T09:08:20.253007,SensorTomate2,12.1,5,632,405,90
2025-12-18T09:08:22.206758,SensorTomate3,12,31,710,939,100
2025-12-18T09:08:24.891898,SensorTomate4,12,21,640,643,100
2025-12-18T09:09:28.875878,SensorTomate1,12.4,17,651,454,72
2025-12-18T09:09:31.173651,SensorTomate2,12.2,5,616,404,90
2025-12-18T09:09:33.173350,SensorTomate3,12,31,675,939,100
2025-12-18T09:09:36.785421,SensorTomate4,12,21,643,643,100
2025-12-18T09:10:38.933541,SensorTomate1,12.4,17,730,456,72
2025-12-18T09:10:41.326094,SensorTomate2,12.1,5,652,406,90
2025-12-18T09:10:43.329028,SensorTomate3,12,31,660,935,100
2025-12-18T09:10:45.770152,SensorTomate4,12.2,21,678,635,100
2025-12-18T09:11:48.004527,SensorTomate1,12.4,17,726,456,72
2025-12-18T09:11:50.543284,SensorTomate2,12.1,5,622,406,90
2025-12-18T09:11:54.154648,SensorTomate3,12.1,31,830,933,100
2025-12-18T09:11:58.741382,SensorTomate4,12.2,21,698,638,100
